"STANDARD_NAME","CONTRIBUTOR","DESCRIPTION_BRIEF","display_name"
"REACTOME_MRNA_DECAY_BY_3_TO_5_EXORIBONUCLEASE","Reactome","Genes involved in mRNA Decay by 3' to 5' Exoribonuclease","(Reactome) mRNA Decay by 3' to 5' Exoribonuclease"
"REACTOME_BILE_SALT_AND_ORGANIC_ANION_SLC_TRANSPORTERS","Reactome","Genes involved in Bile salt and organic anion SLC transporters","(Reactome) Bile salt and organic anion SLC transporters"
"REACTOME_DEADENYLATION_DEPENDENT_MRNA_DECAY","Reactome","Genes involved in Deadenylation-dependent mRNA decay","(Reactome) Deadenylation-dependent mRNA decay"
"REACTOME_CREB_PHOSPHORYLATION_THROUGH_THE_ACTIVATION_OF_CAMKII","Reactome","Genes involved in CREB phosphorylation through the activation of CaMKII","(Reactome) CREB phosphorylation through the activation of CaMKII"
"REACTOME_THROMBOXANE_SIGNALLING_THROUGH_TP_RECEPTOR","Reactome","Genes involved in Thromboxane signalling through TP receptor","(Reactome) Thromboxane signalling through TP receptor"
"REACTOME_CELL_EXTRACELLULAR_MATRIX_INTERACTIONS","Reactome","Genes involved in Cell-extracellular matrix interactions","(Reactome) Cell-extracellular matrix interactions"
"REACTOME_ADP_SIGNALLING_THROUGH_P2RY12","Reactome","Genes involved in ADP signalling through P2Y purinoceptor 12","(Reactome) ADP signalling through P2Y purinoceptor 12"
"REACTOME_CELL_JUNCTION_ORGANIZATION","Reactome","Genes involved in Cell junction organization","(Reactome) Cell junction organization"
"REACTOME_AMINE_COMPOUND_SLC_TRANSPORTERS","Reactome","Genes involved in Amine compound SLC transporters","(Reactome) Amine compound SLC transporters"
"REACTOME_PYRUVATE_METABOLISM","Reactome","Genes involved in Pyruvate metabolism","(Reactome) Pyruvate metabolism"
"REACTOME_PURINE_CATABOLISM","Reactome","Genes involved in Purine catabolism","(Reactome) Purine catabolism"
"REACTOME_GLUCOSE_TRANSPORT","Reactome","Genes involved in Glucose transport","(Reactome) Glucose transport"
"REACTOME_FRS2_MEDIATED_CASCADE","Reactome","Genes involved in FRS2-mediated cascade","(Reactome) FRS2-mediated cascade"
"REACTOME_METABOLISM_OF_RNA","Reactome","Genes involved in Metabolism of RNA","(Reactome) Metabolism of RNA"
"REACTOME_MITOTIC_G1_G1_S_PHASES","Reactome","Genes involved in Mitotic G1-G1/S phases","(Reactome) Mitotic G1-G1/S phases"
"REACTOME_PI_3K_CASCADE","Reactome","Genes involved in PI-3K cascade","(Reactome) PI-3K cascade"
"REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR","Reactome","Genes involved in Downstream signaling of activated FGFR","(Reactome) Downstream signaling of activated FGFR"
"REACTOME_REGULATION_OF_MITOTIC_CELL_CYCLE","Reactome","Genes involved in Regulation of mitotic cell cycle","(Reactome) Regulation of mitotic cell cycle"
"REACTOME_TAK1_ACTIVATES_NFKB_BY_PHOSPHORYLATION_AND_ACTIVATION_OF_IKKS_COMPLEX","Reactome","Genes involved in TAK1 activates NFkB by phosphorylation and activation of IKKs complex","(Reactome) TAK1 activates NFkB by phosphorylation and activation of IKKs complex"
"REACTOME_REGULATION_OF_AMPK_ACTIVITY_VIA_LKB1","Reactome","Genes involved in Regulation of AMPK activity via LKB1","(Reactome) Regulation of AMPK activity via LKB1"
"REACTOME_MITOTIC_M_M_G1_PHASES","Reactome","Genes involved in Mitotic M-M/G1 phases","(Reactome) Mitotic M-M/G1 phases"
"REACTOME_MYOGENESIS","Reactome","Genes involved in Myogenesis","(Reactome) Myogenesis"
"REACTOME_MAP_KINASE_ACTIVATION_IN_TLR_CASCADE","Reactome","Genes involved in MAP kinase activation in TLR cascade","(Reactome) MAP kinase activation in TLR cascade"
"REACTOME_PHOSPHOLIPASE_C_MEDIATED_CASCADE","Reactome","Genes involved in Phospholipase C-mediated cascade","(Reactome) Phospholipase C-mediated cascade"
"REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING","Reactome","Genes involved in Activation of Kainate Receptors upon glutamate binding","(Reactome) Activation of Kainate Receptors upon glutamate binding"
"REACTOME_IONOTROPIC_ACTIVITY_OF_KAINATE_RECEPTORS","Reactome","Genes involved in Ionotropic activity of Kainate Receptors","(Reactome) Ionotropic activity of Kainate Receptors"
"REACTOME_ACTIVATION_OF_THE_AP1_FAMILY_OF_TRANSCRIPTION_FACTORS","Reactome","Genes involved in Activation of the AP-1 family of transcription factors","(Reactome) Activation of the AP-1 family of transcription factors"
"REACTOME_MAPK_TARGETS_NUCLEAR_EVENTS_MEDIATED_BY_MAP_KINASES","Reactome","Genes involved in MAPK targets/ Nuclear events mediated by MAP kinases","(Reactome) MAPK targets/ Nuclear events mediated by MAP kinases"
"REACTOME_SYNTHESIS_AND_INTERCONVERSION_OF_NUCLEOTIDE_DI_AND_TRIPHOSPHATES","Reactome","Genes involved in Synthesis and interconversion of nucleotide di- and triphosphates","(Reactome) Synthesis and interconversion of nucleotide di- and triphosphates"
"REACTOME_GPCR_LIGAND_BINDING","Reactome","Genes involved in GPCR ligand binding","(Reactome) GPCR ligand binding"
"REACTOME_RNA_POL_I_RNA_POL_III_AND_MITOCHONDRIAL_TRANSCRIPTION","Reactome","Genes involved in RNA Polymerase I, RNA Polymerase III, and Mitochondrial Transcription","(Reactome) RNA Polymerase I, RNA Polymerase III, and Mitochondrial Transcription"
"REACTOME_JNK_C_JUN_KINASES_PHOSPHORYLATION_AND_ACTIVATION_MEDIATED_BY_ACTIVATED_HUMAN_TAK1","Reactome","Genes involved in JNK (c-Jun kinases) phosphorylation and  activation mediated by activated human TAK1","(Reactome) JNK (c-Jun kinases) phosphorylation and  activation mediated by activated human TAK1"
"REACTOME_SHC_MEDIATED_CASCADE","Reactome","Genes involved in SHC-mediated cascade","(Reactome) SHC-mediated cascade"
"REACTOME_THROMBIN_SIGNALLING_THROUGH_PROTEINASE_ACTIVATED_RECEPTORS_PARS","Reactome","Genes involved in Thrombin signalling through proteinase activated receptors (PARs)","(Reactome) Thrombin signalling through proteinase activated receptors (PARs)"
"REACTOME_ENERGY_DEPENDENT_REGULATION_OF_MTOR_BY_LKB1_AMPK","Reactome","Genes involved in Energy dependent regulation of mTOR by LKB1-AMPK","(Reactome) Energy dependent regulation of mTOR by LKB1-AMPK"
"REACTOME_MITOTIC_G2_G2_M_PHASES","Reactome","Genes involved in Mitotic G2-G2/M phases","(Reactome) Mitotic G2-G2/M phases"
"REACTOME_REGULATION_OF_RHEB_GTPASE_ACTIVITY_BY_AMPK","Reactome","Genes involved in Regulation of Rheb GTPase activity by AMPK","(Reactome) Regulation of Rheb GTPase activity by AMPK"
"REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION","Reactome","Genes involved in activated TAK1 mediates p38 MAPK activation","(Reactome) activated TAK1 mediates p38 MAPK activation"
"REACTOME_DNA_REPAIR","Reactome","Genes involved in DNA Repair","(Reactome) DNA Repair"
"REACTOME_EFFECTS_OF_PIP2_HYDROLYSIS","Reactome","Genes involved in Effects of PIP2 hydrolysis","(Reactome) Effects of PIP2 hydrolysis"
"REACTOME_RNA_POL_II_PRE_TRANSCRIPTION_EVENTS","Reactome","Genes involved in RNA Polymerase II Pre-transcription Events","(Reactome) RNA Polymerase II Pre-transcription Events"
"REACTOME_ROLE_OF_DCC_IN_REGULATING_APOPTOSIS","Reactome","Genes involved in Role of DCC in regulating apoptosis","(Reactome) Role of DCC in regulating apoptosis"
"REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION","Reactome","Genes involved in Post-translational protein modification","(Reactome) Post-translational protein modification"
"REACTOME_CHROMOSOME_MAINTENANCE","Reactome","Genes involved in Chromosome Maintenance","(Reactome) Chromosome Maintenance"
"REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE","Reactome","Genes involved in Deposition of New CENPA-containing Nucleosomes at the Centromere","(Reactome) Deposition of New CENPA-containing Nucleosomes at the Centromere"
"REACTOME_L1CAM_INTERACTIONS","Reactome","Genes involved in L1CAM interactions","(Reactome) L1CAM interactions"
"REACTOME_ROLE_OF_SECOND_MESSENGERS_IN_NETRIN1_SIGNALING","Reactome","Genes involved in Role of second messengers in netrin-1 signaling","(Reactome) Role of second messengers in netrin-1 signaling"
"REACTOME_SIGNALING_BY_ILS","Reactome","Genes involved in Signaling by Interleukins","(Reactome) Signaling by Interleukins"
"REACTOME_NETRIN1_SIGNALING","Reactome","Genes involved in Netrin-1 signaling","(Reactome) Netrin-1 signaling"
"REACTOME_METABOLISM_OF_LIPIDS_AND_LIPOPROTEINS","Reactome","Genes involved in Metabolism of lipids and lipoproteins","(Reactome) Metabolism of lipids and lipoproteins"
"REACTOME_INTERACTION_BETWEEN_L1_AND_ANKYRINS","Reactome","Genes involved in Interaction between L1 and Ankyrins","(Reactome) Interaction between L1 and Ankyrins"
"REACTOME_SIGNAL_TRANSDUCTION_BY_L1","Reactome","Genes involved in Signal transduction by L1","(Reactome) Signal transduction by L1"
"REACTOME_FATTY_ACID_TRIACYLGLYCEROL_AND_KETONE_BODY_METABOLISM","Reactome","Genes involved in Fatty acid, triacylglycerol, and ketone body metabolism","(Reactome) Fatty acid, triacylglycerol, and ketone body metabolism"
"REACTOME_TRANSPORT_OF_VITAMINS_NUCLEOSIDES_AND_RELATED_MOLECULES","Reactome","Genes involved in Transport of vitamins, nucleosides, and related molecules","(Reactome) Transport of vitamins, nucleosides, and related molecules"
"REACTOME_HIGHLY_CALCIUM_PERMEABLE_POSTSYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS","Reactome","Genes involved in Highly calcium permeable postsynaptic nicotinic acetylcholine receptors","(Reactome) Highly calcium permeable postsynaptic nicotinic acetylcholine receptors"
"REACTOME_RNA_POL_I_PROMOTER_OPENING","Reactome","Genes involved in RNA Polymerase I Promoter Opening","(Reactome) RNA Polymerase I Promoter Opening"
"REACTOME_PRESYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS","Reactome","Genes involved in Presynaptic nicotinic acetylcholine receptors","(Reactome) Presynaptic nicotinic acetylcholine receptors"
"REACTOME_ORGANIC_CATION_ANION_ZWITTERION_TRANSPORT","Reactome","Genes involved in Organic cation/anion/zwitterion transport","(Reactome) Organic cation/anion/zwitterion transport"
"REACTOME_DCC_MEDIATED_ATTRACTIVE_SIGNALING","Reactome","Genes involved in DCC mediated attractive signaling","(Reactome) DCC mediated attractive signaling"
"REACTOME_RECYCLING_PATHWAY_OF_L1","Reactome","Genes involved in Recycling pathway of L1","(Reactome) Recycling pathway of L1"
"REACTOME_SYNTHESIS_OF_SUBSTRATES_IN_N_GLYCAN_BIOSYTHESIS","Reactome","Genes involved in Synthesis of substrates in N-glycan biosythesis","(Reactome) Synthesis of substrates in N-glycan biosythesis"
"REACTOME_RESPIRATORY_ELECTRON_TRANSPORT","Reactome","Genes involved in Respiratory electron transport","(Reactome) Respiratory electron transport"
"REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION","Reactome","Genes involved in Asparagine N-linked glycosylation","(Reactome) Asparagine N-linked glycosylation"
"REACTOME_ASSEMBLY_OF_THE_PRE_REPLICATIVE_COMPLEX","Reactome","Genes involved in Assembly of the pre-replicative complex","(Reactome) Assembly of the pre-replicative complex"
"REACTOME_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED_OLIGOSACCHARIDE_LLO_AND_TRANSFER_TO_A_NASCENT_PROTEIN","Reactome","Genes involved in Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein","(Reactome) Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein"
"REACTOME_IL1_SIGNALING","Reactome","Genes involved in Interleukin-1 signaling","(Reactome) Interleukin-1 signaling"
"REACTOME_GLOBAL_GENOMIC_NER_GG_NER","Reactome","Genes involved in Global Genomic NER (GG-NER)","(Reactome) Global Genomic NER (GG-NER)"
"REACTOME_CGMP_EFFECTS","Reactome","Genes involved in cGMP effects","(Reactome) cGMP effects"
"REACTOME_REGULATION_OF_SIGNALING_BY_CBL","Reactome","Genes involved in Regulation of signaling by CBL","(Reactome) Regulation of signaling by CBL"
"REACTOME_AMINO_ACID_SYNTHESIS_AND_INTERCONVERSION_TRANSAMINATION","Reactome","Genes involved in Amino acid synthesis and interconversion (transamination)","(Reactome) Amino acid synthesis and interconversion (transamination)"
"REACTOME_CALNEXIN_CALRETICULIN_CYCLE","Reactome","Genes involved in Calnexin/calreticulin cycle","(Reactome) Calnexin/calreticulin cycle"
"REACTOME_SYNTHESIS_SECRETION_AND_INACTIVATION_OF_GIP","Reactome","Genes involved in Synthesis, Secretion, and Inactivation of Glucose-dependent Insulinotropic Polypeptide (GIP)","(Reactome) Synthesis, Secretion, and Inactivation of Glucose-dependent Insulinotropic Polypeptide (GIP)"
"REACTOME_PASSIVE_TRANSPORT_BY_AQUAPORINS","Reactome","Genes involved in Passive Transport by Aquaporins","(Reactome) Passive Transport by Aquaporins"
"REACTOME_NEPHRIN_INTERACTIONS","Reactome","Genes involved in Nephrin interactions","(Reactome) Nephrin interactions"
"REACTOME_IL_3_5_AND_GM_CSF_SIGNALING","Reactome","Genes involved in Interleukin-3, 5 and GM-CSF signaling","(Reactome) Interleukin-3, 5 and GM-CSF signaling"
"REACTOME_NITRIC_OXIDE_STIMULATES_GUANYLATE_CYCLASE","Reactome","Genes involved in Nitric oxide stimulates guanylate cyclase","(Reactome) Nitric oxide stimulates guanylate cyclase"
"REACTOME_PLATELET_HOMEOSTASIS","Reactome","Genes involved in Platelet homeostasis","(Reactome) Platelet homeostasis"
"REACTOME_N_GLYCAN_TRIMMING_IN_THE_ER_AND_CALNEXIN_CALRETICULIN_CYCLE","Reactome","Genes involved in N-glycan trimming in the ER and Calnexin/Calreticulin cycle","(Reactome) N-glycan trimming in the ER and Calnexin/Calreticulin cycle"
"REACTOME_PLATELET_SENSITIZATION_BY_LDL","Reactome","Genes involved in Platelet sensitization by LDL","(Reactome) Platelet sensitization by LDL"
"REACTOME_AQUAPORIN_MEDIATED_TRANSPORT","Reactome","Genes involved in Aquaporin-mediated transport","(Reactome) Aquaporin-mediated transport"
"REACTOME_IL_RECEPTOR_SHC_SIGNALING","Reactome","Genes involved in Interleukin receptor SHC signaling","(Reactome) Interleukin receptor SHC signaling"
"REACTOME_RAP1_SIGNALLING","Reactome","Genes involved in Rap1 signalling","(Reactome) Rap1 signalling"
"REACTOME_PLATELET_CALCIUM_HOMEOSTASIS","Reactome","Genes involved in Platelet calcium homeostasis","(Reactome) Platelet calcium homeostasis"
"REACTOME_SIGNAL_REGULATORY_PROTEIN_SIRP_FAMILY_INTERACTIONS","Reactome","Genes involved in Signal regulatory protein (SIRP) family interactions","(Reactome) Signal regulatory protein (SIRP) family interactions"
"REACTOME_PROSTACYCLIN_SIGNALLING_THROUGH_PROSTACYCLIN_RECEPTOR","Reactome","Genes involved in Prostacyclin signalling through prostacyclin receptor","(Reactome) Prostacyclin signalling through prostacyclin receptor"
"REACTOME_GABA_SYNTHESIS_RELEASE_REUPTAKE_AND_DEGRADATION","Reactome","Genes involved in GABA synthesis, release, reuptake and degradation","(Reactome) GABA synthesis, release, reuptake and degradation"
"REACTOME_INCRETIN_SYNTHESIS_SECRETION_AND_INACTIVATION","Reactome","Genes involved in Incretin Synthesis, Secretion, and Inactivation","(Reactome) Incretin Synthesis, Secretion, and Inactivation"
"REACTOME_TRANSPORT_OF_ORGANIC_ANIONS","Reactome","Genes involved in Transport of organic anions","(Reactome) Transport of organic anions"
"REACTOME_SYNTHESIS_SECRETION_AND_INACTIVATION_OF_GLP1","Reactome","Genes involved in Synthesis, Secretion, and Inactivation of Glucagon-like Peptide-1 (GLP-1)","(Reactome) Synthesis, Secretion, and Inactivation of Glucagon-like Peptide-1 (GLP-1)"
"REACTOME_REGULATION_OF_WATER_BALANCE_BY_RENAL_AQUAPORINS","Reactome","Genes involved in Regulation of Water Balance by Renal Aquaporins","(Reactome) Regulation of Water Balance by Renal Aquaporins"
"REACTOME_DESTABILIZATION_OF_MRNA_BY_BRF1","Reactome","Genes involved in Destabilization of mRNA by Butyrate Response Factor 1 (BRF1)","(Reactome) Destabilization of mRNA by Butyrate Response Factor 1 (BRF1)"
"REACTOME_IRAK1_RECRUITS_IKK_COMPLEX","Reactome","Genes involved in IRAK1 recruits IKK complex","(Reactome) IRAK1 recruits IKK complex"
"REACTOME_TRAF6_MEDIATED_IRF7_ACTIVATION","Reactome","Genes involved in TRAF6 mediated IRF7 activation","(Reactome) TRAF6 mediated IRF7 activation"
"REACTOME_CIRCADIAN_CLOCK","Reactome","Genes involved in Circadian Clock","(Reactome) Circadian Clock"
"REACTOME_TRAF6_MEDIATED_NFKB_ACTIVATION","Reactome","Genes involved in TRAF6 mediated NF-kB activation","(Reactome) TRAF6 mediated NF-kB activation"
"REACTOME_FACTORS_INVOLVED_IN_MEGAKARYOCYTE_DEVELOPMENT_AND_PLATELET_PRODUCTION","Reactome","Genes involved in Factors involved in megakaryocyte development and platelet production","(Reactome) Factors involved in megakaryocyte development and platelet production"
"REACTOME_REGULATION_OF_IFNG_SIGNALING","Reactome","Genes involved in Regulation of IFNG signaling","(Reactome) Regulation of IFNG signaling"
"REACTOME_GABA_A_RECEPTOR_ACTIVATION","Reactome","Genes involved in GABA A receptor activation","(Reactome) GABA A receptor activation"
"REACTOME_REGULATION_OF_MRNA_STABILITY_BY_PROTEINS_THAT_BIND_AU_RICH_ELEMENTS","Reactome","Genes involved in Regulation of mRNA Stability by Proteins that Bind AU-rich Elements","(Reactome) Regulation of mRNA Stability by Proteins that Bind AU-rich Elements"
"REACTOME_INHIBITION_OF_VOLTAGE_GATED_CA2_CHANNELS_VIA_GBETA_GAMMA_SUBUNITS","Reactome","Genes involved in Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits","(Reactome) Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits"
"REACTOME_IRAK2_MEDIATED_ACTIVATION_OF_TAK1_COMPLEX_UPON_TLR7_8_OR_9_STIMULATION","Reactome","Genes involved in IRAK2 mediated activation of TAK1 complex upon TLR7/8 or 9 stimulation","(Reactome) IRAK2 mediated activation of TAK1 complex upon TLR7/8 or 9 stimulation"
"REACTOME_TRAF6_MEDIATED_INDUCTION_OF_NFKB_AND_MAP_KINASES_UPON_TLR7_8_OR_9_ACTIVATION","Reactome","Genes involved in TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation","(Reactome) TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation"
"REACTOME_TRAF3_DEPENDENT_IRF_ACTIVATION_PATHWAY","Reactome","Genes involved in TRAF3-dependent IRF activation pathway","(Reactome) TRAF3-dependent IRF activation pathway"
"REACTOME_GABA_B_RECEPTOR_ACTIVATION","Reactome","Genes involved in GABA B receptor activation","(Reactome) GABA B receptor activation"
"REACTOME_NFKB_ACTIVATION_THROUGH_FADD_RIP1_PATHWAY_MEDIATED_BY_CASPASE_8_AND10","Reactome","Genes involved in NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10","(Reactome) NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10"
"REACTOME_DESTABILIZATION_OF_MRNA_BY_KSRP","Reactome","Genes involved in Destabilization of mRNA by KSRP","(Reactome) Destabilization of mRNA by KSRP"
"REACTOME_TRANSPORT_TO_THE_GOLGI_AND_SUBSEQUENT_MODIFICATION","Reactome","Genes involved in Transport to the Golgi and subsequent modification","(Reactome) Transport to the Golgi and subsequent modification"
"REACTOME_IRON_UPTAKE_AND_TRANSPORT","Reactome","Genes involved in Iron uptake and transport","(Reactome) Iron uptake and transport"
"REACTOME_DESTABILIZATION_OF_MRNA_BY_TRISTETRAPROLIN_TTP","Reactome","Genes involved in Destabilization of mRNA by Tristetraprolin (TTP)","(Reactome) Destabilization of mRNA by Tristetraprolin (TTP)"
"REACTOME_INTERFERON_GAMMA_SIGNALING","Reactome","Genes involved in Interferon gamma signaling","(Reactome) Interferon gamma signaling"
"REACTOME_N_GLYCAN_ANTENNAE_ELONGATION","Reactome","Genes involved in N-Glycan antennae elongation","(Reactome) N-Glycan antennae elongation"
"REACTOME_TRAF6_MEDIATED_IRF7_ACTIVATION_IN_TLR7_8_OR_9_SIGNALING","Reactome","Genes involved in TRAF6 mediated IRF7 activation in TLR7/8 or 9 signaling","(Reactome) TRAF6 mediated IRF7 activation in TLR7/8 or 9 signaling"
"REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_EPSILON","Reactome","Genes involved in Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon","(Reactome) Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon"
"REACTOME_ION_TRANSPORT_BY_P_TYPE_ATPASES","Reactome","Genes involved in Ion transport by P-type ATPases","(Reactome) Ion transport by P-type ATPases"
"REACTOME_INTERFERON_ALPHA_BETA_SIGNALING","Reactome","Genes involved in Interferon alpha/beta signaling","(Reactome) Interferon alpha/beta signaling"
"REACTOME_ADVANCED_GLYCOSYLATION_ENDPRODUCT_RECEPTOR_SIGNALING","Reactome","Genes involved in Advanced glycosylation endproduct receptor signaling","(Reactome) Advanced glycosylation endproduct receptor signaling"
"REACTOME_GABA_RECEPTOR_ACTIVATION","Reactome","Genes involved in GABA receptor activation","(Reactome) GABA receptor activation"
"REACTOME_KINESINS","Reactome","Genes involved in Kinesins","(Reactome) Kinesins"
"REACTOME_N_GLYCAN_ANTENNAE_ELONGATION_IN_THE_MEDIAL_TRANS_GOLGI","Reactome","Genes involved in N-glycan antennae elongation in the medial/trans-Golgi","(Reactome) N-glycan antennae elongation in the medial/trans-Golgi"
"REACTOME_REGULATION_OF_IFNA_SIGNALING","Reactome","Genes involved in Regulation of IFNA signaling","(Reactome) Regulation of IFNA signaling"
"REACTOME_INTERFERON_SIGNALING","Reactome","Genes involved in Interferon Signaling","(Reactome) Interferon Signaling"
"REACTOME_NEGATIVE_REGULATORS_OF_RIG_I_MDA5_SIGNALING","Reactome","Genes involved in Negative regulators of RIG-I/MDA5 signaling","(Reactome) Negative regulators of RIG-I/MDA5 signaling"
"REACTOME_NFKB_AND_MAP_KINASES_ACTIVATION_MEDIATED_BY_TLR4_SIGNALING_REPERTOIRE","Reactome","Genes involved in NFkB and MAP kinases activation mediated by TLR4 signaling repertoire","(Reactome) NFkB and MAP kinases activation mediated by TLR4 signaling repertoire"
"REACTOME_TRANSFERRIN_ENDOCYTOSIS_AND_RECYCLING","Reactome","Genes involved in Transferrin endocytosis and recycling","(Reactome) Transferrin endocytosis and recycling"
"REACTOME_DSCAM_INTERACTIONS","Reactome","Genes involved in DSCAM interactions","(Reactome) DSCAM interactions"
"REACTOME_ION_CHANNEL_TRANSPORT","Reactome","Genes involved in Ion channel transport","(Reactome) Ion channel transport"
"REACTOME_DESTABILIZATION_OF_MRNA_BY_AUF1_HNRNP_D0","Reactome","Genes involved in Destabilization of mRNA by AUF1 (hnRNP D0)","(Reactome) Destabilization of mRNA by AUF1 (hnRNP D0)"
"REACTOME_TRAF6_MEDIATED_INDUCTION_OF_TAK1_COMPLEX","Reactome","Genes involved in TRAF6 mediated induction of TAK1 complex","(Reactome) TRAF6 mediated induction of TAK1 complex"
"REACTOME_RIG_I_MDA5_MEDIATED_INDUCTION_OF_IFN_ALPHA_BETA_PATHWAYS","Reactome","Genes involved in RIG-I/MDA5 mediated induction of IFN-alpha/beta pathways","(Reactome) RIG-I/MDA5 mediated induction of IFN-alpha/beta pathways"
"REACTOME_IKK_COMPLEX_RECRUITMENT_MEDIATED_BY_RIP1","Reactome","Genes involved in IKK complex recruitment mediated by RIP1","(Reactome) IKK complex recruitment mediated by RIP1"
"REACTOME_LIGAND_GATED_ION_CHANNEL_TRANSPORT","Reactome","Genes involved in Ligand-gated ion channel transport","(Reactome) Ligand-gated ion channel transport"
"REACTOME_FORMATION_OF_INCISION_COMPLEX_IN_GG_NER","Reactome","Genes involved in Formation of incision complex in GG-NER","(Reactome) Formation of incision complex in GG-NER"
"REACTOME_TRANSCRIPTIONAL_REGULATION_OF_WHITE_ADIPOCYTE_DIFFERENTIATION","Reactome","Genes involved in Transcriptional Regulation of White Adipocyte Differentiation","(Reactome) Transcriptional Regulation of White Adipocyte Differentiation"
"REACTOME_ENDOSOMAL_SORTING_COMPLEX_REQUIRED_FOR_TRANSPORT_ESCRT","Reactome","Genes involved in Endosomal Sorting Complex Required For Transport (ESCRT)","(Reactome) Endosomal Sorting Complex Required For Transport (ESCRT)"
"REACTOME_MEIOTIC_RECOMBINATION","Reactome","Genes involved in Meiotic Recombination","(Reactome) Meiotic Recombination"
"REACTOME_IL_2_SIGNALING","Reactome","Genes involved in Interleukin-2 signaling","(Reactome) Interleukin-2 signaling"
"REACTOME_IL_6_SIGNALING","Reactome","Genes involved in Interleukin-6 signaling","(Reactome) Interleukin-6 signaling"
"REACTOME_PLATELET_AGGREGATION_PLUG_FORMATION","Reactome","Genes involved in Platelet Aggregation (Plug Formation)","(Reactome) Platelet Aggregation (Plug Formation)"
"REACTOME_SIGNALING_BY_NOTCH","Reactome","Genes involved in Signaling by NOTCH","(Reactome) Signaling by NOTCH"
"REACTOME_LAGGING_STRAND_SYNTHESIS","Reactome","Genes involved in Lagging Strand Synthesis","(Reactome) Lagging Strand Synthesis"
"REACTOME_INTRINSIC_PATHWAY","Reactome","Genes involved in Intrinsic Pathway","(Reactome) Intrinsic Pathway"
"REACTOME_INHIBITION_OF_REPLICATION_INITIATION_OF_DAMAGED_DNA_BY_RB1_E2F1","Reactome","Genes involved in Inhibition of replication initiation of damaged DNA by RB1/E2F1","(Reactome) Inhibition of replication initiation of damaged DNA by RB1/E2F1"
"REACTOME_ETHANOL_OXIDATION","Reactome","Genes involved in Ethanol oxidation","(Reactome) Ethanol oxidation"
"REACTOME_SYNTHESIS_OF_VERY_LONG_CHAIN_FATTY_ACYL_COAS","Reactome","Genes involved in Synthesis of very long-chain fatty acyl-CoAs","(Reactome) Synthesis of very long-chain fatty acyl-CoAs"
"REACTOME_DNA_REPLICATION","Reactome","Genes involved in DNA Replication","(Reactome) DNA Replication"
"REACTOME_CLEAVAGE_OF_GROWING_TRANSCRIPT_IN_THE_TERMINATION_REGION_","Reactome","Genes involved in Cleavage of Growing Transcript in the Termination Region ","(Reactome) Cleavage of Growing Transcript in the Termination Region "
"REACTOME_PKB_MEDIATED_EVENTS","Reactome","Genes involved in PKB-mediated events","(Reactome) PKB-mediated events"
"REACTOME_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION","Reactome","Genes involved in E2F mediated regulation of DNA replication","(Reactome) E2F mediated regulation of DNA replication"
"REACTOME_METABOLISM_OF_CARBOHYDRATES","Reactome","Genes involved in Metabolism of carbohydrates","(Reactome) Metabolism of carbohydrates"
"REACTOME_HORMONE_SENSITIVE_LIPASE_HSL_MEDIATED_TRIACYLGLYCEROL_HYDROLYSIS","Reactome","Genes involved in Hormone-sensitive lipase (HSL)-mediated triacylglycerol hydrolysis","(Reactome) Hormone-sensitive lipase (HSL)-mediated triacylglycerol hydrolysis"
"REACTOME_SIGNALING_BY_INSULIN_RECEPTOR","Reactome","Genes involved in Signaling by Insulin receptor","(Reactome) Signaling by Insulin receptor"
"REACTOME_SIGNAL_ATTENUATION","Reactome","Genes involved in Signal attenuation","(Reactome) Signal attenuation"
"REACTOME_PURINE_METABOLISM","Reactome","Genes involved in Purine metabolism","(Reactome) Purine metabolism"
"REACTOME_SOS_MEDIATED_SIGNALLING","Reactome","Genes involved in SOS-mediated signalling","(Reactome) SOS-mediated signalling"
